Sketch: C:\Users\ìSòN\Google ÉhÉâÉCÉu\ëÂäw\çuã`éëóø\ÇQÇOÇPÇSîNìxëOä˙\èÓïÒï\åª\êiíªÅAÇ«Ç§Ç≈Ç∑Ç©ÅH\sketch____, 2014-07-16 21:37:57.921
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
UndefinedType,{ControlEvent},ControlEvent cannot be resolved to a type
UndefinedType,{ControlP5},ControlP5 cannot be resolved to a type
InvalidUnaryExpression,{},Invalid argument to operation ++/--
InvalidCharacterConstant,{},Invalid character constant
MissingReturnType,{},Return type for the method is missing
UnterminatedString,{},String literal is not properly closed by a double-quote
ParsingErrorInsertTokenAfter,{%| Expression},Syntax error on token "%"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{&| Expression},Syntax error on token "&"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{&&| Expression},Syntax error on token "&&"^ Expression expected after this token
ParsingError,{&&| assert},Syntax error on token "&&"^ assert expected
ParsingErrorInsertTokenAfter,{(| Expression},Syntax error on token "("^ Expression expected after this token
ParsingError,{)| ;},Syntax error on token ")"^ ; expected
ParsingErrorInsertTokenAfter,{)| AssignmentOperator},Syntax error on token ")"^ AssignmentOperator expected after this token
ParsingErrorInsertTokenAfter,{)| Statement},Syntax error on token ")"^ Statement expected after this token
ParsingErrorDeleteToken,{)},Syntax error on token ")"^ delete this token
ParsingErrorInsertTokenAfter,{)| {},Syntax error on token ")"^ { expected after this token
ParsingErrorInsertTokenAfter,{*| Expression},Syntax error on token "*"^ Expression expected after this token
ParsingError,{+| ++},Syntax error on token "+"^ ++ expected
ParsingErrorDeleteToken,{+},Syntax error on token "+"^ delete this token
ParsingErrorInvalidToken,{+| AssignmentOperator},Syntax error on token "+"^ invalid AssignmentOperator
ParsingError,{++| +},Syntax error on token "++"^ + expected
ParsingErrorInvalidToken,{++| AssignmentOperator},Syntax error on token "++"^ invalid AssignmentOperator
ParsingError,{,| (},Syntax error on token "^"^ ( expected
ParsingError,{,| )},Syntax error on token "^"^ ) expected
ParsingErrorInsertTokenAfter,{,| Expression},Syntax error on token "^"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{,| FormalParameter},Syntax error on token "^"^ FormalParameter expected after this token
ParsingErrorDeleteToken,{,},Syntax error on token "^"^ delete this token
ParsingErrorInvalidToken,{-| AssignmentOperator},Syntax error on token "-"^ invalid AssignmentOperator
ParsingError,{-=| -},Syntax error on token "-="^ - expected
ParsingError,{-=| --},Syntax error on token "-="^ -- expected
ParsingErrorInsertTokenAfter,{/| Expression},Syntax error on token "/"^ Expression expected after this token
ParsingErrorDeleteToken,{/},Syntax error on token "/"^ delete this token
ParsingErrorDeleteToken,{0},Syntax error on token "0"^ delete this token
ParsingErrorInsertTokenAfter,{;| Expression},Syntax error on token ";"^ Expression expected after this token
ParsingError,{;| [},Syntax error on token ";"^ [ expected
ParsingErrorDeleteToken,{;},Syntax error on token ";"^ delete this token
ParsingErrorInvalidToken,{;| AssignmentOperator},Syntax error on token ";"^ invalid AssignmentOperator
ParsingErrorInsertTokenAfter,{<| Expression},Syntax error on token "<"^ Expression expected after this token
ParsingError,{=| <=},Syntax error on token "="^ <= expected
ParsingErrorInsertTokenAfter,{=| Expression},Syntax error on token "="^ Expression expected after this token
ParsingErrorInsertTokenAfter,{=| VariableInitializer},Syntax error on token "="^ VariableInitializer expected after this token
ParsingErrorDeleteToken,{=},Syntax error on token "="^ delete this token
ParsingErrorInsertTokenAfter,{==| Expression},Syntax error on token "=="^ Expression expected after this token
ParsingErrorInvalidToken,{==| AssignmentOperator},Syntax error on token "=="^ invalid AssignmentOperator
ParsingErrorInsertTokenAfter,{>| Expression},Syntax error on token ">"^ Expression expected after this token
ParsingErrorInsertTokenAfter,{CENTER| VariableDeclaratorId},Syntax error on token "CENTER"^ VariableDeclaratorId expected after this token
ParsingErrorDeleteToken,{Invalid Character},Syntax error on token "Invalid Character"^ delete this token
ParsingError,{[| ;},Syntax error on token "["^ ; expected
ParsingErrorInsertTokenAfter,{[| Expression},Syntax error on token "["^ Expression expected after this token
ParsingErrorInsertTokenAfter,{[| ]},Syntax error on token "["^ ] expected after this token
ParsingErrorDeleteToken,{[},Syntax error on token "["^ delete this token
ParsingError,{]| ++},Syntax error on token "]"^ ++ expected
